feature,importance
item_month_mean,1957
store_dow_mean,1749
sales_lag_364,1657
days_since_start,776
sales_lag_728,627
dayofweek,599
item_dow_mean,582
store_month_mean,561
sales_lag_365,445
sales_same_month_last_year,404
expanding_mean,401
store_item_mean,353
year,347
month_mean,242
yoy_ratio,221
doy_cos,174
store_total_sales_lag_91,170
month_cos,134
item_total_sales_lag_91,101
store_mean,83
dow_sin,82
sales_lag_98,71
ema_090,66
sales_lag_105,62
sales_lag_182,61
rolling_mean_91,60
dow_cos,53
dayofyear,52
sales_lag_270,47
sales_lag_112,46
rolling_std_91,38
doy_sin,36
dow_mean,34
rolling_mean_56,34
month,30
rolling_mean_14,27
rolling_mean_28,22
local_trend,22
ema_095,22
weekofyear,20
month_sin,17
rolling_mean_7,16
rolling_std_56,16
rolling_std_28,14
item_mean,14
sales_lag_91,12
is_month_end,10
rolling_std_14,10
day,8
store,6
days_to_holiday,4
rolling_std_7,3
item,1
is_weekend,1
is_holiday,0
is_month_start,0
quarter,0
